"World Region","ISO_A3","Country","1A1a","1A1bc","1A2","1A3a","1A3b","1A3c","1A3d","1A3e","1A4","1B1","1B2","1C1","1C2","2A1","2A2","2A7","2B","2C","2D","2E","2F1","2F2","2F3","2F4","2F5","2F7","2F8","2F9","2G","3A","3B","3C","3D","4A","4B","4C","4D1","4D2","4D3","4D4","4E","4F","5A","5C","5D","5F","5F1","5F2","5FL","6A","6B","6C","6D","7A","7B","7C","7D","TOTAL" 
"Rest Central America","BLZ","Belize",1.04660e-2,0,2.54508e-2,1.08335e-5,7.21536e-2,0,2.10103e-4,3.19669e-4,1.01737e+0,5.83420e-2,1.82840e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40810e+0,1.30226e-1,5.66014e-1,0,0,0,0,2.71680e-1,3.78669e-1,0,0,0,0,0,0,0,1.07370e+0,1.24669e+0,0,0,0,0,0,0,8.27769e+0
"Rest Central America","BMU","Bermuda",5.81448e-3,0,7.04398e-3,1.04139e-4,1.56351e-2,0,2.12340e-4,3.58946e-4,1.50457e-2,0,1.09160e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94145e-2,2.66760e-3,0,0,0,0,0,0,3.98235e-5,0,0,0,0,0,0,0,8.99587e-1,2.69918e-1,0,0,0,0,0,0,1.29676e+0
"Rest Central America","BRB","Barbados",9.37015e-3,1.33978e-3,3.09761e-2,6.82679e-5,4.54795e-2,0,1.85576e-4,2.72369e-4,1.26090e-2,2.69700e-2,3.82866e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03331e+0,6.52535e-2,0,0,0,0,0,0,1.23575e-1,0,0,0,0,0,0,0,1.80125e+0,1.50846e+0,0,0,0,0,0,0,5.04198e+0
"Rest Central America","CRI","Costa Rica",2.70192e-2,2.58310e-3,1.93469e-1,0,4.65228e-1,0,1.11188e-2,0,1.36504e+0,5.48700e-1,8.28328e+0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38725e+1,2.56174e+0,5.68388e+0,0,0,0,0,9.55320e-1,1.21086e+0,0,0,0,0,0,0,0,8.32606e+0,1.82745e+1,0,0,0,0,0,0,1.31781e+2
"Rest Central America","CUB","Cuba",6.24978e-1,2.09251e-3,2.46294e+0,0,3.60073e-1,1.37264e-2,1.03749e-1,0,2.19418e+1,4.93830e+0,2.15997e+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30674e+2,8.23644e+0,6.19898e+1,0,0,0,0,1.76486e+1,1.10546e+1,0,0,0,0,0,0,0,6.16255e+1,5.75246e+1,0,0,0,0,0,0,5.00801e+2
"Rest Central America","CYM","Cayman Islands",4.27359e-3,0,4.46440e-3,1.52635e-5,1.42345e-2,0,0,0,4.63049e-3,0,7.18624e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78915e-2,4.11749e-3,0,0,0,0,0,0,1.11551e-5,0,0,0,0,0,0,0,8.11530e-1,1.76129e-1,0,0,0,0,0,0,1.10448e+0
"Rest Central America","DMA","Dominica",1.99809e-3,0,7.76028e-3,3.11799e-6,1.46385e-2,0,2.90141e-5,4.39971e-5,1.37058e-3,2.25060e-2,2.49104e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94046e-1,2.21270e-2,0,0,0,0,0,0,2.22005e-3,0,0,0,0,0,0,0,4.96459e-1,3.64898e-1,0,0,0,0,0,0,1.83059e+0
"Rest Central America","DOM","Dominican Republic",7.99966e-2,5.43400e-4,5.96402e-1,0,7.99061e-1,0,0,5.64300e-3,1.26793e+1,3.47510e+1,5.51123e-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40251e+2,4.52866e+0,4.53764e+1,0,0,0,0,8.08560e-1,2.07378e+0,0,0,0,0,0,0,0,4.02713e+1,3.67237e+1,4.98231e-1,0,0,0,0,0,3.19995e+2
"Rest Central America","GLP","Guadeloupe",1.27651e-2,0,4.78486e-2,3.67423e-4,6.63435e-2,0,0,0,4.77533e-1,1.81350e-1,3.84795e-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69795e+0,1.35648e-1,0,0,0,0,0,0,2.37416e-1,0,0,0,0,0,0,0,3.23043e+0,2.00260e+0,0,0,0,0,0,0,1.21287e+1
"Rest Central America","GRD","Grenada",3.61267e-3,0,1.01758e-2,2.48265e-5,1.97395e-2,0,4.42989e-4,7.40070e-4,3.13974e-2,1.40740e-1,5.26350e-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43464e-1,1.17797e-2,0,0,0,0,0,0,4.50836e-3,0,0,0,0,0,0,0,4.09101e-1,5.61800e-1,0,0,0,0,0,0,1.54279e+0
