World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
Northern_Africa,DZA,Algeria,1.11E+00,5.04E-01,2.92E-01,0,2.37E+00,0,0,2.86E-02,2.97E+01,6.08E+01,1.70E+03,0,0,0,0,0,2.28E-01,1.32E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17E+02,8.93E+00,2.55E-02,0,0,0,0,0,1.46E-01,0,0,0,0,0,0,0,1.08E+02,1.32E+02,0,0,0,0,0,0,2.26E+03,
Northern_Africa,EGY,Egypt,1.49E+00,6.91E-01,1.94E+00,1.24E-02,4.37E+00,0,1.18E-01,0,6.42E+01,1.24E+02,1.17E+03,0,0,0,0,0,2.29E-02,2.50E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32E+02,1.59E+01,1.76E+02,0,0,0,0,2.14E-02,6.27E-01,0,0,0,0,0,0,0,1.32E+02,2.49E+02,0,0,0,0,0,0,2.48E+03,
Northern_Africa,ESH,Western Sahara,1.14E-03,6.68E-05,1.64E-02,7.37E-05,8.95E-03,3.18E-06,0,0,2.46E-02,0,4.06E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E+01,2.96E-01,0,0,0,0,0,0,7.08E-05,0,0,0,0,0,0,0,5.20E-01,1.62E+00,0,0,0,0,0,0,1.34E+01,
Northern_Africa,LBY,Libyan Arab Jamahiriya,7.10E-01,5.63E-02,6.02E-02,1.02E-04,2.15E+00,0,0,0,2.17E+00,9.25E+00,7.49E+02,0,0,0,0,0,2.01E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83E+01,1.71E+00,0,0,0,0,0,0,9.42E-03,6.29E-03,0,0,0,0,0,0,3.12E+01,2.40E+01,0,0,0,0,0,0,8.60E+02,
Northern_Africa,MAR,Morocco,8.24E-02,1.03E-02,3.40E-01,0,3.80E-01,0,0,0,4.29E+00,9.45E+00,4.87E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54E+02,1.02E+01,0,0,0,0,0,0,1.53E-01,0,4.51E-02,0,0,0,0,0,7.49E+01,1.34E+02,0,0,0,0,0,0,5.36E+02,
Northern_Africa,TUN,Tunisia,4.74E-01,2.76E-03,8.86E-02,0,4.03E-01,0,0,4.81E-03,9.71E+00,2.14E+01,1.53E+02,0,0,0,0,0,0,3.85E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+02,4.77E+00,0,0,0,0,0,0,7.37E-02,0,0,0,0,0,0,0,1.21E+00,3.92E+01,0,0,0,0,0,0,3.31E+02,
Western_Africa,BEN,Benin,2.87E-03,0,6.52E-03,0,4.79E-01,0,0,0,2.41E+01,2.07E+01,1.94E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26E+01,3.28E+00,4.86E+00,0,0,0,0,7.32E+01,6.62E-01,8.77E+01,0,0,0,0,0,0,9.51E+00,4.03E+01,0,0,0,0,0,0,3.37E+02,
Western_Africa,BFA,Burkina Faso,2.52E-03,1.24E-04,6.04E-01,6.98E-04,1.02E-01,3.83E-06,0,0,7.71E+01,5.07E+01,1.86E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95E+02,2.06E+01,6.54E+00,0,0,0,0,3.14E+01,1.17E+00,0,0,0,0,0,0,0,6.76E+00,5.56E+01,0,0,0,0,0,0,6.46E+02,
Western_Africa,CAF,Central African Republic,7.38E-04,4.32E-05,1.79E-01,3.72E-04,3.95E-02,1.88E-06,0,0,7.90E+00,1.70E+01,5.46E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56E+02,5.04E+00,1.85E+00,0,0,0,0,3.36E+03,1.85E-01,1.06E+03,0,0,0,0,0,0,8.00E+00,1.94E+01,0,0,0,0,0,0,4.64E+03,
Western_Africa,CIV,Cote d'Ivoire,1.52E-01,3.47E-03,2.15E-02,0,1.88E-01,6.94E-03,1.46E-02,0,4.13E+01,1.00E+02,2.87E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E+01,3.11E+00,0,0,0,0,0,3.19E+01,1.54E+00,3.25E+02,0,0,0,0,0,0,7.83E+00,8.25E+01,0,0,0,0,0,0,6.90E+02,
Western_Africa,CMR,Cameroon,2.53E-03,4.81E-03,6.76E-01,2.93E-04,4.23E-01,2.78E-03,1.76E-03,0,3.69E+01,2.18E+01,6.63E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68E+02,9.88E+00,5.33E+00,0,0,0,0,3.07E+02,9.03E-01,1.18E+02,0,0,0,0,0,0,3.00E+01,8.42E+01,0,0,0,0,0,0,9.49E+02,
Western_Africa,COD,Congo_the Democratic Republic of the,0,2.93E-04,5.42E+00,0,1.76E-01,0,0,0,2.71E+02,1.79E+01,5.19E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09E+00,3.02E-01,5.34E+01,0,0,0,0,7.66E+02,3.42E+00,1.87E+03,0,0,0,0,0,0,4.20E+01,2.66E+02,0,0,0,0,0,0,3.31E+03,
Western_Africa,COG,Congo,3.06E-03,0,2.51E-03,1.59E-03,1.38E-01,0,0,0,6.66E+00,6.23E+01,1.09E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37E+01,2.95E+00,0,0,0,0,0,1.63E+01,1.60E-01,3.74E+01,0,0,0,0,0,0,9.78E+00,1.86E+01,0,0,0,0,0,0,3.17E+02,
Western_Africa,CPV,Cape Verde,5.89E-04,3.41E-05,2.30E-02,7.06E-05,9.90E-03,1.47E-06,0,0,5.66E-02,8.42E-02,2.55E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E+00,6.51E-01,0,0,0,0,0,0,2.22E-02,0,0,0,0,0,0,0,1.45E+00,2.36E+00,0,0,0,0,0,0,6.61E+00,
Western_Africa,GAB,Gabon,4.26E-02,2.51E-03,3.11E-01,0,4.55E-02,0,0,0,1.07E-01,1.76E+00,1.32E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E+00,3.59E-01,6.36E-02,0,0,0,0,6.55E+00,4.62E-02,8.84E+01,0,0,0,0,0,0,9.96E+00,7.01E+00,0,0,0,0,0,0,2.50E+02,
Western_Africa,GHA,Ghana,8.94E-02,2.01E-03,1.41E+00,0,7.49E-01,6.77E-03,1.38E-02,6.27E-04,7.81E+01,6.37E+01,3.87E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46E+01,4.10E+00,1.54E+01,0,0,0,0,5.40E+02,1.20E+00,1.43E+02,0,0,0,0,0,0,3.60E+01,1.03E+02,0,0,0,0,0,0,1.07E+03,
Western_Africa,GIN,Guinea,2.33E-03,1.03E-04,4.29E-01,7.46E-04,1.17E-01,5.12E-06,0,0,4.32E+01,3.02E+01,1.89E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39E+02,5.38E+00,5.86E+01,0,0,0,0,5.28E+02,8.23E-01,7.21E+02,0,0,0,0,0,0,1.53E+01,4.47E+01,0,0,0,0,0,0,1.59E+03,
Western_Africa,GMB,Gambia,1.08E-03,6.35E-05,6.91E-02,1.13E-04,4.58E-02,2.42E-06,0,0,2.54E+00,5.49E+00,4.50E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36E+01,5.43E-01,3.59E+00,0,0,0,0,8.59E+00,4.32E-02,0,0,0,0,0,0,0,1.99E+00,5.94E+00,0,0,0,0,0,0,4.25E+01,
Western_Africa,GNB,Guinea-Bissau,8.64E-04,4.77E-05,7.33E-02,1.80E-04,2.67E-02,2.01E-06,0,0,1.83E+00,5.03E-02,5.64E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E+01,1.12E+00,9.70E+00,0,0,0,0,1.47E+01,1.23E-01,0,0,0,0,0,0,0,2.07E+00,7.47E+00,0,0,0,0,0,0,5.80E+01,
Western_Africa,GNQ,Equatorial Guinea,3.16E-04,4.75E-05,2.29E-02,1.28E-04,1.33E-02,1.90E-06,0,0,1.62E+00,7.82E-01,1.18E+02,0,0,0,0,0,1.68E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90E-01,2.53E-02,0,0,0,0,0,0,1.89E-02,0,0,0,0,0,0,0,2.19E+00,5.91E+00,0,0,0,0,0,0,1.31E+02,
Western_Africa,LBR,Liberia,1.61E-03,7.28E-05,1.47E-01,1.68E-04,4.12E-02,2.58E-06,0,0,2.30E+01,1.98E+01,7.96E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47E+00,3.63E-01,1.44E+00,0,0,0,0,8.66E+00,1.96E-01,3.26E-01,0,0,0,0,0,0,6.01E+00,1.36E+01,0,0,0,0,0,0,7.72E+01,
Western_Africa,MLI,Mali,2.48E-03,1.17E-04,6.14E-01,2.60E-04,1.25E-01,4.97E-06,0,0,2.14E+01,1.14E+01,9.74E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E+02,1.61E+01,5.03E+01,0,0,0,0,1.57E+02,1.33E+00,8.30E+01,0,0,0,0,0,0,1.12E+01,6.14E+01,0,0,0,0,0,0,8.30E+02,
Western_Africa,MRT,Mauritania,6.30E-03,2.75E-04,1.55E-01,1.84E-03,3.51E-01,1.40E-05,0,0,6.54E+00,1.59E+01,5.44E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E+02,9.65E+00,0,0,0,0,0,1.07E-01,7.15E-02,0,0,0,0,0,0,0,6.80E+00,1.57E+01,0,0,0,0,0,0,2.72E+02,
Western_Africa,NER,Niger,5.48E-03,2.13E-04,6.39E-01,1.30E-04,7.09E-02,9.59E-06,0,0,3.66E+01,5.09E+01,1.24E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33E+02,4.92E+00,3.50E-01,0,0,0,0,1.05E+00,2.05E+00,0,0,0,0,0,0,0,7.66E+00,6.01E+01,0,0,0,0,0,0,2.98E+02,
Western_Africa,NGA,Nigeria,4.15E-01,5.39E-01,1.13E+01,0,7.98E+00,4.34E-03,7.32E-03,0,2.48E+02,9.94E+01,1.53E+03,0,0,0,0,0,7.20E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51E+02,4.12E+01,3.48E+02,0,0,0,0,6.50E+02,1.30E+01,7.62E+01,0,0,0,0,0,0,8.64E+01,6.17E+02,0,0,0,0,0,0,4.58E+03,
Western_Africa,SEN,Senegal,9.36E-02,3.76E-04,6.93E-02,6.06E-04,1.53E-01,0,1.49E-02,0,2.27E+01,4.59E+01,2.68E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74E+02,7.94E+00,1.54E+01,0,0,0,0,8.76E+01,3.20E-01,0,0,0,0,0,0,0,1.99E+01,5.84E+01,0,0,0,0,0,0,4.35E+02,
Western_Africa,SHN,Saint Helena,0,0,2.12E-04,0,1.24E-03,0,0,0,3.25E-04,0,2.12E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44E-02,4.17E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E-02,1.96E-02,0,0,0,0,0,0,9.09E-02,
Western_Africa,SLE,Sierra Leone,3.37E-03,1.49E-04,2.60E-01,4.84E-04,4.51E-02,7.38E-06,0,0,1.98E+01,3.32E+01,1.48E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47E+01,7.23E-01,1.55E+01,0,0,0,0,9.53E+01,3.13E-01,1.31E+01,0,0,0,0,0,0,3.84E+00,2.39E+01,0,0,0,0,0,0,2.21E+02,
Western_Africa,STP,Sao Tome and Principe,5.11E-04,2.99E-05,7.18E-03,3.36E-05,8.02E-03,1.30E-06,0,0,1.91E-02,7.82E-01,1.49E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-01,2.02E-02,0,0,0,0,0,0,1.96E-03,0,0,0,0,0,0,0,3.28E-01,6.54E-01,0,0,0,0,0,0,2.07E+00,
Western_Africa,TCD,Chad,6.54E-04,3.70E-05,4.46E-01,5.49E-05,9.50E-03,1.61E-06,0,0,2.66E+01,3.50E+01,3.71E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13E+02,1.20E+01,1.77E+01,0,0,0,0,3.72E+02,8.81E-01,0,0,0,0,0,0,0,7.37E+00,4.14E+01,0,0,0,0,0,0,8.63E+02,
Western_Africa,TGO,Togo,9.32E-03,0,8.95E-03,0,4.49E-01,0,0,0,2.78E+01,4.97E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67E+01,1.63E+00,4.45E+00,0,0,0,0,7.56E+01,4.41E-01,5.71E+01,0,0,0,0,0,0,8.05E+00,2.75E+01,0,0,0,0,0,0,2.79E+02,
Eastern_Africa,BDI,Burundi,8.59E-04,4.24E-05,3.41E-01,2.66E-04,3.92E-02,1.73E-06,0,0,3.23E+01,2.72E+01,7.07E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03E+01,7.79E-01,5.27E+00,0,0,0,0,0,3.64E-01,0,0,0,0,0,0,0,1.39E+00,3.02E+01,0,0,0,0,0,0,1.18E+02,
Eastern_Africa,COM,Comoros,1.50E-04,2.04E-05,3.61E-02,9.48E-05,8.47E-03,8.25E-07,0,0,1.66E-01,3.43E+00,1.63E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E+00,9.83E-02,1.78E+00,0,0,0,0,0,1.33E-02,0,0,0,0,0,0,0,1.03E+00,3.67E+00,0,0,0,0,0,0,1.24E+01,
Eastern_Africa,DJI,Djibouti,2.32E-03,1.32E-04,4.96E-02,3.24E-04,3.09E-02,6.38E-06,0,0,2.04E-01,4.22E+00,2.68E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75E+01,7.03E-01,0,0,0,0,0,5.16E-03,1.82E-06,0,0,0,0,0,0,0,2.06E+00,3.96E+00,0,0,0,0,0,0,2.90E+01,
Eastern_Africa,ERI,Eritrea,1.36E-03,0,7.52E-04,0,2.33E-02,0,0,0,1.44E+01,1.14E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34E+01,2.85E+00,0,0,0,0,0,3.70E-01,1.07E-01,0,0,0,0,0,0,0,1.92E+00,1.76E+01,0,0,0,0,0,0,1.32E+02,
Eastern_Africa,ETH,Ethiopia,4.33E-03,0,6.42E-02,0,2.70E-01,0,0,0,3.75E+02,1.05E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E+03,5.62E+01,0,0,0,0,0,4.49E+02,9.31E+00,0,0,0,0,0,0,0,2.67E+01,3.31E+02,0,0,0,0,0,0,2.87E+03,
Eastern_Africa,KEN,Kenya,5.39E-01,1.55E-02,6.70E-02,9.36E-03,5.18E-01,7.46E-03,2.93E-04,0,9.59E+01,2.70E+02,4.34E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92E+02,2.16E+01,3.01E+00,0,0,0,0,1.91E+01,9.65E-01,0,0,0,0,0,0,0,2.86E+01,1.74E+02,0,0,0,0,0,0,1.31E+03,
Eastern_Africa,MDG,Madagascar,7.46E-03,4.35E-04,8.47E-01,1.05E-03,1.84E-01,1.55E-05,0,0,4.59E+01,9.41E+01,3.25E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38E+02,1.54E+01,2.00E+02,0,0,0,0,2.24E+00,1.16E+00,2.09E+00,9.53E-02,0,0,0,0,0,1.43E+01,7.77E+01,0,0,0,0,0,0,8.92E+02,
Eastern_Africa,MUS,Mauritius,9.21E-03,4.40E-04,7.06E-02,3.54E-04,1.01E-01,1.89E-05,0,0,9.86E-01,2.74E-02,4.84E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88E+00,2.56E-01,0,0,0,0,0,0,8.40E-02,0,0,0,0,0,0,0,4.29E+00,5.67E+00,0,0,0,0,0,0,1.39E+01,
Eastern_Africa,MYT,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-01,3.61E-01,0,0,0,0,0,0,5.78E-01,
Eastern_Africa,REU,Reunion,5.83E-03,3.26E-04,4.07E-02,1.22E-03,7.92E-02,1.25E-05,0,0,2.73E-01,0,4.14E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95E+00,4.41E-01,5.09E-03,0,0,0,0,0,4.77E-02,0,0,0,0,0,0,0,4.49E+00,5.41E+00,0,0,0,0,0,0,1.32E+01,
Eastern_Africa,RWA,Rwanda,2.49E-03,1.36E-04,4.08E-01,4.97E-04,6.06E-02,6.69E-06,0,0,1.90E+01,2.38E+01,2.25E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51E+01,1.97E+00,2.83E+00,0,0,0,0,2.38E-02,5.92E-01,0,0,0,0,0,0,0,2.76E+00,3.38E+01,0,0,0,0,0,0,1.31E+02,
Eastern_Africa,SDN,Sudan,4.58E-02,2.07E-02,1.21E+00,0,1.10E+00,1.73E-03,5.85E-04,0,8.37E+01,1.61E+02,6.03E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97E+03,7.03E+01,2.84E-01,0,0,0,0,2.18E+03,2.55E+00,0,0,0,0,0,0,0,9.71E+01,1.79E+02,0,0,0,0,0,0,4.81E+03,
Eastern_Africa,SOM,Somalia,1.07E-03,1.03E-04,3.75E-01,4.07E-04,5.19E-02,4.17E-06,0,0,4.25E+01,8.20E+01,1.12E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60E+02,2.50E+01,0,0,0,0,0,3.17E+00,1.04E-01,0,0,0,0,0,0,0,6.11E+00,3.58E+01,0,0,0,0,0,0,7.55E+02,
Eastern_Africa,SYC,Seychelles,4.53E-03,2.69E-04,7.08E-03,2.42E-07,1.37E-02,7.82E-06,0,0,2.18E-02,0,1.29E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47E-02,5.96E-02,0,0,0,0,0,0,5.05E-06,0,0,0,0,0,0,0,4.02E-01,3.70E-01,0,0,0,0,0,0,1.10E+00,
Eastern_Africa,UGA,Uganda,5.24E-03,3.11E-04,1.31E+00,4.20E-04,2.08E-01,9.84E-06,0,0,1.40E+02,8.07E+01,2.50E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24E+02,1.19E+01,1.61E+01,0,0,0,0,3.00E+02,2.43E+00,0,0,0,0,0,0,0,8.57E+00,1.13E+02,0,0,0,0,0,0,9.98E+02,
Southern_Africa,AGO,Angola,9.44E-03,6.63E-03,2.23E-01,1.42E-03,6.50E-01,0,0,0,2.15E+01,9.77E+01,4.05E+02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E+02,5.48E+00,2.34E+00,0,0,0,0,3.46E+00,4.81E-01,8.57E+00,0,0,0,0,0,0,2.61E+01,7.39E+01,0,0,0,0,0,0,8.23E+02,
Southern_Africa,BWA,Botswana,1.13E-02,3.19E-05,1.78E-01,7.37E-05,3.28E-01,1.57E-05,0,0,3.04E+00,1.81E+01,1.23E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43E+02,3.98E+00,0,0,0,0,0,8.69E-02,4.25E-02,0,3.50E-03,0,0,0,0,0,6.97E+00,8.43E+00,0,0,0,0,0,0,1.85E+02,
Southern_Africa,LSO,Lesotho,4.36E-04,2.56E-05,7.88E-02,2.15E-04,2.58E-02,1.29E-06,0,0,7.41E+00,8.49E+00,3.12E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E+01,8.61E-01,0,0,0,0,0,0,3.67E-02,0,1.66E-01,0,0,0,0,0,1.74E+00,8.44E+00,0,0,0,0,0,0,5.92E+01,
Southern_Africa,MOZ,Mozambique,5.77E-04,1.25E-04,7.74E-01,0,2.08E-01,0,1.14E-02,0,6.41E+01,4.07E+01,9.85E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E+01,2.18E+00,2.31E+01,0,0,0,0,9.24E-01,1.72E+00,3.78E-01,3.72E-02,0,0,0,0,0,2.24E+01,9.95E+01,0,0,0,0,0,0,4.06E+02,
Southern_Africa,MWI,Malawi,2.73E-03,1.52E-04,5.80E-01,4.30E-04,9.12E-02,8.56E-06,0,0,2.11E+01,4.27E+01,1.23E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45E+01,1.88E+00,3.47E+00,0,0,0,0,2.34E+01,2.43E+00,0,0,0,0,0,0,0,5.18E+00,5.45E+01,0,0,0,0,0,0,2.00E+02,
Southern_Africa,NAM,Namibia,2.88E-04,0,1.33E-02,6.90E-04,2.21E-01,0,7.90E-03,0,7.85E-01,4.99E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11E+02,4.83E+00,0,0,0,0,0,1.07E+00,7.60E-02,0,2.13E-04,0,0,0,0,0,4.46E+00,8.38E+00,0,0,0,0,0,0,2.35E+02,
Southern_Africa,SWZ,Swaziland,2.35E-03,8.82E-05,4.83E-02,1.77E-04,6.48E-02,5.05E-06,0,0,2.64E+00,4.35E+00,7.79E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43E+01,8.07E-01,6.36E-03,0,0,0,0,0,9.74E-02,0,7.73E-02,0,0,0,0,0,1.89E+00,1.71E+01,0,0,0,0,0,0,6.15E+01,
Southern_Africa,TZA,Tanzania_United Republic of,7.50E-04,0,2.27E+00,0,4.06E-01,0,0,0,9.82E+01,1.42E+02,2.59E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47E+02,2.19E+01,4.59E+01,0,0,0,0,7.39E+00,5.15E+00,4.58E+00,0,0,0,0,0,0,1.66E+01,1.91E+02,0,0,0,0,0,0,1.21E+03,
Southern_Africa,ZAF,South Africa,1.73E+00,6.64E-02,5.36E+00,2.16E-02,4.86E+00,2.74E-02,0,0,1.03E+02,1.30E+03,9.55E+01,0,0,0,0,0,2.50E-01,4.53E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44E+02,2.21E+01,1.78E-01,0,0,0,0,5.74E-01,1.98E+00,1.35E+00,9.41E+01,0,0,0,0,0,2.96E+02,3.29E+02,0,0,0,0,0,0,3.20E+03,
Southern_Africa,ZMB,Zambia,1.18E-03,6.27E-04,1.11E+00,0,2.05E-01,0,0,6.52E-03,3.14E+01,8.45E+01,1.31E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06E+02,3.78E+00,1.42E+00,0,0,0,0,0,3.33E-01,0,0,0,0,0,0,0,1.16E+01,5.10E+01,0,0,0,0,0,0,2.91E+02,
Southern_Africa,ZWE,Zimbabwe,4.73E-02,4.60E-04,2.36E-01,0,1.92E-01,3.89E-03,0,0,3.15E+01,1.71E+01,6.90E-05,0,0,0,0,0,0,2.13E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73E+02,7.66E+00,3.18E-02,0,0,0,0,3.38E-01,4.01E-01,0,0,0,0,0,0,0,1.60E+01,5.62E+01,0,0,0,0,0,0,4.03E+02,
OECD_Europe,AUT,Austria,2.45E+00,1.63E-01,1.75E+00,3.09E-03,1.40E+00,1.02E-02,4.10E-03,1.02E-02,3.79E+01,1.91E+00,5.14E+01,0,0,0,0,0,1.65E-01,4.36E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49E+02,4.06E+01,0,0,0,0,0,0,3.60E-01,0,1.15E-02,0,0,0,0,0,5.53E+01,4.55E+01,1.52E-03,7.44E+00,0,0,0,0,3.95E+02,
OECD_Europe,BEL,Belgium,2.24E+00,1.05E-01,1.32E+00,1.05E-04,1.26E+00,7.11E-03,3.54E-02,0,6.90E+00,2.90E+00,5.18E+01,0,0,0,0,0,4.98E-01,4.48E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+02,7.29E+01,0,0,0,0,0,0,2.60E-01,0,8.06E-02,0,0,0,0,0,2.83E+01,8.49E+01,2.47E-01,1.03E+01,0,0,0,0,4.54E+02,
OECD_Europe,CHE,Switzerland,8.24E-01,2.02E-02,7.53E-01,1.21E-03,2.02E+00,2.08E-03,2.63E-03,0,1.57E+01,3.54E-01,3.12E+01,0,0,0,0,0,7.08E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E+02,3.34E+01,0,0,0,0,0,0,9.52E-02,2.02E-02,0,0,0,0,0,0,1.67E+01,1.23E+01,1.21E-05,3.54E+00,0,0,0,0,2.36E+02,
OECD_Europe,DEU,Germany,1.19E+01,4.53E-01,5.34E+00,3.86E-02,1.23E+01,7.89E-02,8.72E-02,2.76E-03,1.21E+02,3.24E+02,2.56E+02,0,0,0,0,0,5.94E+00,1.88E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03E+03,3.48E+02,0,0,0,0,0,0,3.37E+00,0,0,0,0,0,0,0,4.55E+02,1.73E+02,0,3.73E-02,0,0,0,0,2.75E+03,
OECD_Europe,DNK,Denmark,2.33E+00,9.80E-02,3.64E-01,8.15E-04,1.16E+00,1.32E-02,4.07E-02,4.39E-03,1.65E+01,2.45E-01,4.14E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32E+02,1.11E+02,0,0,0,0,0,0,6.77E-01,0,0,0,0,0,0,0,5.53E+01,9.42E+00,0,3.96E+00,0,0,0,0,3.74E+02,
OECD_Europe,ESP,Spain,3.49E+00,5.21E-01,3.22E+00,4.98E-02,6.66E+00,1.24E-01,3.86E-01,2.76E-03,4.17E+01,6.00E+01,4.37E+01,0,0,0,0,0,8.30E-01,5.12E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10E+02,3.26E+02,2.58E+01,0,0,0,0,0,1.84E+00,0,1.70E+00,0,0,0,0,0,4.52E+02,1.26E+02,2.97E-02,3.25E+01,0,0,0,0,1.74E+03,
