World Region,ISO_A3,Country,1A1a,1A1bc,1A2,1A3a,1A3b,1A3c,1A3d,1A3e,1A4,1B1,1B2,1C1,1C2,2A1,2A2,2A7,2B,2C,2D,2E,2F1,2F2,2F3,2F4,2F5,2F7,2F8,2F9,2G,3A,3B,3C,3D,4A,4B,4C,4D1,4D2,4D3,4D4,4E,4F,5A,5C,5D,5F,5F1,5F2,5FL,6A,6B,6C,6D,7A,7B,7C,7D,TOTAL ,
Rest Central America,ATG,Antigua and Barbuda,4.51E-03,0,8.79E-03,2.21E-05,1.58E-02,0,0,4.36E-06,1.21E-02,0,1.37E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18E+00,2.63E-02,0,0,0,0,0,0,1.62E-03,0,0,0,0,0,0,0,3.82E-01,3.23E-01,0,0,0,0,0,0,1.97E+00,
Rest Central America,BHS,Bahamas,2.93E-02,0,4.30E-02,1.13E-03,1.19E-01,0,4.72E-04,1.12E-03,9.31E-02,9.15E-02,1.04E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-01,3.85E-02,0,0,0,0,0,0,2.30E-03,0,0,0,0,0,0,0,7.98E+00,1.42E+00,0,0,0,0,0,0,1.01E+01,
Rest Central America,BLZ,Belize,1.28E-02,0,2.83E-02,1.08E-05,6.58E-02,0,1.59E-04,3.65E-04,1.04E+00,6.40E-02,2.35E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E+00,1.33E-01,3.10E-01,0,0,0,0,4.10E-01,4.73E-01,0,0,0,0,0,0,0,1.35E+00,1.42E+00,0,0,0,0,0,0,9.20E+00,
Rest Central America,BMU,Bermuda,8.07E-03,0,7.21E-03,8.37E-05,1.57E-02,0,1.15E-04,2.64E-04,6.36E-03,0,1.52E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34E-02,2.67E-03,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,1.01E+00,2.73E-01,0,0,0,0,0,0,1.40E+00,
Rest Central America,BRB,Barbados,1.03E-02,1.52E-03,3.02E-02,4.85E-05,3.91E-02,0,1.15E-04,2.43E-04,2.36E-02,2.74E-02,2.82E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20E-01,8.23E-02,0,0,0,0,0,0,1.09E-01,0,0,0,0,0,0,0,2.06E+00,1.55E+00,0,0,0,0,0,0,4.93E+00,
Rest Central America,CRI,Costa Rica,2.48E-02,2.72E-03,5.83E-01,0,3.80E-01,0,4.25E-03,0,2.12E+00,1.83E-01,9.16E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64E+01,2.90E+00,6.10E+00,0,0,0,0,5.62E-01,1.14E+00,0,0,0,0,0,0,0,3.22E+00,2.04E+01,0,0,0,0,0,0,1.03E+02,
Rest Central America,CUB,Cuba,4.48E-01,1.88E-03,1.27E+00,0,9.89E-02,0,0,0,5.25E+00,4.76E+00,2.86E+01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E+02,8.26E+00,5.01E+00,0,0,0,0,7.82E+00,4.21E+00,0,0,0,0,0,0,0,6.71E+01,5.42E+01,0,0,0,0,0,0,4.01E+02,
Rest Central America,CYM,Cayman Islands,5.71E-03,0,5.01E-03,1.64E-05,1.32E-02,0,0,2.90E-06,6.86E-03,0,9.47E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79E-02,4.12E-03,0,0,0,0,0,0,1.12E-05,0,0,0,0,0,0,0,9.53E-01,1.98E-01,0,0,0,0,0,0,1.27E+00,
Rest Central America,DMA,Dominica,2.38E-03,0,7.92E-03,4.23E-06,2.07E-02,0,3.00E-05,6.91E-05,1.49E-03,1.83E-02,3.41E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94E-01,2.21E-02,0,0,0,0,0,0,2.37E-03,0,0,0,0,0,0,0,5.28E-01,3.71E-01,0,0,0,0,0,0,1.87E+00,
Rest Central America,DOM,Dominican Republic,1.22E-01,4.31E-03,6.18E-01,0,5.05E-01,0,0,2.63E-02,1.64E+01,3.64E+01,7.03E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48E+02,4.71E+00,2.07E+01,0,0,0,0,6.55E-01,2.00E+00,0,0,0,0,0,0,0,4.98E+01,3.90E+01,5.72E-01,0,0,0,0,0,3.20E+02,
